City,Lat,Lon,Max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
inhambane,-23.865,35.3833,26.88,80,13,0.79,MZ,1611982266
kavieng,-2.5744,150.7967,29.04,77,86,6.35,PG,1611982283
georgetown,5.4112,100.3354,31,55,20,1.54,MY,1611982136
hermanus,-34.4187,19.2345,17.22,89,64,2.38,ZA,1611982283
castro,-24.7911,-50.0119,17.05,94,100,1.46,BR,1611982283
kahului,20.8947,-156.47,23,73,40,7.72,US,1611982284
presidencia roque saenz pena,-26.7852,-60.4388,25.56,84,0,1.34,AR,1611982284
new norfolk,-42.7826,147.0587,24.44,57,81,1.34,AU,1611982284
punta arenas,-53.15,-70.9167,8,81,20,6.17,CL,1611982284
galveston,29.3669,-94.9669,15.56,82,1,6.17,US,1611982285
arraial do cabo,-22.9661,-42.0278,24.74,85,49,10.75,BR,1611982211
mataura,-46.1927,168.8643,19.47,45,0,0.95,NZ,1611982285
kaitangata,-46.2817,169.8464,14.44,67,22,3.58,NZ,1611982285
puerto ayora,-0.7393,-90.3518,25.56,93,33,2.24,EC,1611982286
saint anthony,45.0205,-93.218,-3.89,58,90,6.17,US,1611982286
hudson bay,52.85,-102.3842,-13.15,95,99,0.98,CA,1611982286
jamestown,42.097,-79.2353,-6.67,79,90,4.12,US,1611982032
port-de-paix,52.4675,96.11,-6.72,90,100,6.88,RU,1611982287
toora-khem,-33.65,115.3333,30,38,0,2.24,AU,1611982287
busselton,-15.7167,46.3167,24,83,20,2.57,MG,1611982287
mahajanga,-23.1203,-134.9692,26.34,77,35,5.64,PF,1611982287
rikitea,22.0752,-159.319,23,78,75,8.75,US,1611982288
kapaa,37.7167,-25.4333,15,94,40,2.06,PT,1611982288
vila franca do campo,55.4333,86.0833,-22,71,20,7,RU,1611982288
borovoy,-46.6,168.3333,12.27,74,0,6.84,NZ,1611982288
bluff,-46.1333,167.6833,17.42,55,0,3.05,NZ,1611982289
tuatapere,45.6285,-1.0281,12,100,90,6.17,FR,1611982289
royan,69.3,139.9,-34.24,87,100,1.09,RU,1611982289
deputatskiy,65.6145,-37.6368,-9,48,90,10.29,GL,1611982289
tasiilaq,1.6481,14.5806,22.74,90,100,1.07,CG,1611982290
