City,Lat,Lon,Max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
inhambane,-23.865,35.3833,26.88,80.0,13.0,0.79,MZ,1611982266.0
kavieng,-2.5744,150.7967,29.04,77.0,86.0,6.35,PG,1611982283.0
georgetown,5.4112,100.3354,31.0,55.0,20.0,1.54,MY,1611982136.0
hermanus,-34.4187,19.2345,17.22,89.0,64.0,2.38,ZA,1611982283.0
castro,-24.7911,-50.0119,17.05,94.0,100.0,1.46,BR,1611982283.0
kahului,20.8947,-156.47,23.0,73.0,40.0,7.72,US,1611982284.0
presidencia roque saenz pena,-26.7852,-60.4388,25.56,84.0,0.0,1.34,AR,1611982284.0
new norfolk,-42.7826,147.0587,24.44,57.0,81.0,1.34,AU,1611982284.0
punta arenas,-53.15,-70.9167,8.0,81.0,20.0,6.17,CL,1611982284.0
galveston,29.3669,-94.9669,15.56,82.0,1.0,6.17,US,1611982285.0
arraial do cabo,-22.9661,-42.0278,24.74,85.0,49.0,10.75,BR,1611982211.0
mataura,-46.1927,168.8643,19.47,45.0,0.0,0.95,NZ,1611982285.0
kaitangata,-46.2817,169.8464,14.44,67.0,22.0,3.58,NZ,1611982285.0
puerto ayora,-0.7393,-90.3518,25.56,93.0,33.0,2.24,EC,1611982286.0
saint anthony,45.0205,-93.218,-3.89,58.0,90.0,6.17,US,1611982286.0
hudson bay,52.85,-102.3842,-13.15,95.0,99.0,0.98,CA,1611982286.0
jamestown,42.097,-79.2353,-6.67,79.0,90.0,4.12,US,1611982032.0
port-de-paix,52.4675,96.11,-6.72,90.0,100.0,6.88,RU,1611982287.0
toora-khem,-33.65,115.3333,30.0,38.0,0.0,2.24,AU,1611982287.0
busselton,-15.7167,46.3167,24.0,83.0,20.0,2.57,MG,1611982287.0
mahajanga,-23.1203,-134.9692,26.34,77.0,35.0,5.64,PF,1611982287.0
rikitea,22.0752,-159.319,23.0,78.0,75.0,8.75,US,1611982288.0
kapaa,37.7167,-25.4333,15.0,94.0,40.0,2.06,PT,1611982288.0
vila franca do campo,55.4333,86.0833,-22.0,71.0,20.0,7.0,RU,1611982288.0
borovoy,-46.6,168.3333,12.27,74.0,0.0,6.84,NZ,1611982288.0
bluff,-46.1333,167.6833,17.42,55.0,0.0,3.05,NZ,1611982289.0
tuatapere,45.6285,-1.0281,12.0,100.0,90.0,6.17,FR,1611982289.0
royan,69.3,139.9,-34.24,87.0,100.0,1.09,RU,1611982289.0
deputatskiy,65.6145,-37.6368,-9.0,48.0,90.0,10.29,GL,1611982289.0
tasiilaq,1.6481,14.5806,22.74,90.0,100.0,1.07,CG,1611982290.0
jiddah,68.3499,-133.7218,-34.0,75.0,64.0,0.51,CA,1611982290.0
sembe,-7.8447,-79.1469,22.72,68.0,94.0,2.02,PE,1611982290.0
inuvik,-26.6481,15.1594,18.44,52.0,0.0,9.62,,1611982290.0
chicama,28.017,-97.5169,21.0,73.0,90.0,6.17,US,1611982291.0
luderitz,12.1167,-61.6167,25.0,83.0,20.0,6.17,GD,1611982291.0
san patricio,2.6708,72.8944,27.16,79.0,0.0,6.32,MV,1611982291.0
grenville,14.2,24.6667,9.95,43.0,0.0,4.43,SD,1611982291.0
kudahuvadhoo,54.2668,-110.735,-21.0,71.0,1.0,0.93,CA,1611982292.0
kutum,32.6667,-17.1,13.89,75.0,56.0,1.34,PT,1611982292.0
bonnyville,49.758,129.523,-26.09,85.0,29.0,3.48,RU,1611982292.0
ponta do sol,-19.7625,-44.3139,22.0,73.0,0.0,1.54,BR,1611982292.0
shirokiy,-54.8,-68.3,6.0,75.0,75.0,7.2,AR,1611982244.0
esmeraldas,-17.7125,-39.2481,23.48,89.0,0.0,1.89,BR,1611982293.0
ushuaia,45.3246,-118.0877,-1.11,85.0,85.0,0.84,US,1611982293.0
suzu,-34.5322,20.0403,17.22,89.0,87.0,2.86,ZA,1611982293.0
caravelas,-33.6971,-53.4616,19.53,94.0,6.0,0.54,UY,1611982294.0
la grande,16.2923,119.8062,26.12,60.0,2.0,3.13,PH,1611982294.0
bredasdorp,71.6872,128.8694,-34.08,85.0,100.0,2.34,RU,1611982294.0
chuy,29.1614,16.139,11.7,53.0,0.0,2.45,LY,1611982294.0
catuday,18.2116,-65.7349,23.0,78.0,20.0,2.06,PR,1611982295.0
tiksi,69.7008,170.3133,-34.4,85.0,28.0,2.0,RU,1611982295.0
waddan,71.0357,27.8492,-3.28,96.0,100.0,9.31,NO,1611982295.0
naguabo,-0.9492,100.3543,30.0,66.0,40.0,2.06,ID,1611982072.0
pevek,39.5994,-110.8107,-1.0,93.0,90.0,1.54,US,1611982296.0
mehamn,25.3573,55.4033,20.0,72.0,0.0,1.03,AE,1611982296.0
padang,4.95,-6.0833,24.72,91.0,28.0,2.1,CI,1611982296.0
price,-24.8667,113.6333,42.0,19.0,0.0,7.72,AU,1611982296.0
sharjah,10.2511,-74.9146,25.0,83.0,0.0,4.63,CO,1611982296.0
sassandra,6.5833,3.75,25.08,92.0,70.0,0.79,NG,1611981899.0
carnarvon,29.5833,-9.5,13.98,45.0,0.0,1.39,MA,1611982095.0
calamar,69.6496,18.957,-7.0,68.0,0.0,4.63,NO,1611982297.0
lagos,69.4541,-133.0374,-38.0,67.0,1.0,1.03,CA,1611982297.0
tiznit,41.7597,86.1469,-1.17,75.0,0.0,3.18,CN,1611982298.0
tromso,59.2353,163.0719,-12.26,94.0,100.0,8.58,RU,1611982298.0
tuktoyaktuk,-22.038,-63.6797,20.08,88.0,82.0,1.39,BO,1611982298.0
korla,62.456,-114.3525,-28.33,76.0,1.0,3.09,CA,1611982298.0
ossora,-11.3847,43.2844,28.07,77.0,76.0,5.05,KM,1611982299.0
yacuiba,34.3833,131.2,8.33,57.0,75.0,5.14,JP,1611982299.0
yellowknife,42.6001,-73.9662,-13.33,76.0,2.0,3.63,US,1611982095.0
mitsamiouli,-10.7073,22.2247,18.01,98.0,95.0,0.65,AO,1611982299.0
mys shmidta,-21.2078,-159.775,27.0,83.0,40.0,2.57,CK,1611982300.0
nagato,27.6298,85.5214,11.0,62.0,20.0,2.57,NP,1611982300.0
albany,36.4009,47.1133,-2.65,95.0,66.0,3.57,IR,1611982301.0
luau,-31.9333,115.8333,33.89,18.0,0.0,7.2,AU,1611982095.0
sentyabrskiy,41.6103,20.0089,9.0,93.0,90.0,1.54,AL,1611982301.0
avarua,-37.6167,-73.65,13.13,91.0,69.0,2.43,CL,1611982088.0
banepa,14.9709,8.8879,14.02,33.0,36.0,6.04,NE,1611982301.0
malwan,-42.8794,147.3294,24.44,72.0,75.0,10.8,AU,1611982302.0
takab,73.5069,80.5464,-36.93,84.0,94.0,3.55,RU,1611982302.0
perth,-6.1349,12.3689,25.47,88.0,100.0,2.29,AO,1611982302.0
burrel,27.9667,73.55,20.05,20.0,0.0,2.12,IN,1611982302.0
lebu,-0.5853,30.2114,18.18,69.0,47.0,0.44,UG,1611982303.0
tanout,-41.1456,-71.3082,10.0,71.0,0.0,2.57,AR,1611982303.0
hobart,-33.5906,26.891,19.44,81.0,19.0,0.45,ZA,1611982304.0
dikson,78.2186,15.6401,-17.0,46.0,20.0,11.83,SJ,1611982304.0
soyo,69.4865,88.3972,-34.65,67.0,0.0,2.09,RU,1611982304.0
napasar,22.2855,114.1577,22.22,52.0,0.0,3.6,HK,1611982249.0
hihifo,49.1833,125.2167,-26.29,83.0,2.0,1.26,CN,1611982305.0
bushenyi,0.5333,72.9333,28.02,75.0,95.0,5.92,MV,1611982305.0
attawapiskat,71.2906,-156.7887,-24.0,70.0,75.0,3.6,US,1611982305.0
san carlos de bariloche,60.34,102.2797,-36.68,80.0,57.0,3.91,RU,1611982305.0
port alfred,41.3712,-73.414,-11.0,52.0,1.0,2.57,US,1611982306.0
longyearbyen,-33.1905,-68.4608,21.0,60.0,20.0,7.2,AR,1611982151.0
talnakh,24.4042,103.4428,15.72,67.0,98.0,3.42,CN,1611982306.0
victoria,52.4503,64.6311,-7.68,93.0,99.0,4.69,KZ,1611982306.0
nenjiang,-9.8,-139.0333,25.9,78.0,14.0,8.73,PF,1611982307.0
thinadhoo,38.0667,116.5667,10.63,36.0,6.0,4.21,CN,1611982307.0
barrow,65.282,-126.8329,-35.0,68.0,75.0,1.54,CA,1611982307.0
vanavara,-21.2,-175.2,27.0,83.0,90.0,6.17,TO,1611982307.0
bethel,36.3868,4.3989,13.55,50.0,0.0,1.88,DZ,1611982308.0
rivadavia,-11.8343,31.4529,17.76,93.0,100.0,1.09,ZM,1611982308.0
miyang,50.7165,-121.2859,-4.0,86.0,20.0,1.03,CA,1611982308.0
kushmurun,35.5281,-108.7426,-1.0,80.0,90.0,12.86,US,1611982308.0
atuona,36.6167,101.7667,-4.13,64.0,100.0,1.51,CN,1611982309.0
botou,-16.4833,-151.75,27.44,65.0,100.0,2.25,PF,1611982309.0
norman wells,51.3223,42.7678,1.11,94.0,100.0,10.01,RU,1611982309.0
vaini,40.5782,17.0374,9.44,76.0,0.0,4.12,IT,1611982309.0
tazmalt,-3.3333,128.9167,30.59,61.0,96.0,2.05,ID,1611982310.0
mpika,33.194,-82.5271,0.0,93.0,1.0,2.05,US,1611982310.0
atka,42.2506,-75.833,-12.78,85.0,90.0,3.09,US,1611982310.0
ashcroft,54.4299,31.8996,-6.69,97.0,100.0,6.66,RU,1611982311.0
gallup,45.41,79.9186,0.4,81.0,0.0,0.47,KZ,1611982311.0
xining,60.3964,-1.353,1.0,69.0,43.0,4.12,GB,1611982311.0
faanui,-33.9258,18.4232,21.11,94.0,75.0,1.54,ZA,1611982312.0
kamenka,59.3833,143.3,-21.21,85.0,0.0,4.17,RU,1611982312.0
palagiano,65.4167,-52.9,-7.29,75.0,0.0,2.76,GL,1611982312.0
amahai,50.1001,-91.917,-14.0,78.0,75.0,1.54,CA,1611982312.0
avera,-33.0153,27.9116,19.0,94.0,20.0,3.09,ZA,1611982313.0
broome,22.6783,-3.9836,17.24,29.0,0.0,4.42,ML,1611982313.0
grand river south east,26.1842,127.7558,19.0,34.0,40.0,4.63,JP,1611982313.0
sobolevo,-19.5667,18.1167,18.0,100.0,40.0,1.03,,1611982313.0
marcona,-3.6667,152.4333,28.77,78.0,75.0,5.84,PG,1611982314.0
sarkand,38.5167,-28.7,16.76,89.0,98.0,10.43,PT,1611982314.0
brae,4.4148,114.0089,31.0,70.0,40.0,4.12,MY,1611982314.0
cape town,-33.0117,17.9442,19.35,76.0,84.0,4.09,ZA,1611982315.0
okhotsk,55.7435,-97.8558,-12.0,85.0,90.0,2.06,CA,1611982316.0
maniitsoq,35.3667,132.7667,7.0,61.0,40.0,9.26,JP,1611982316.0
sioux lookout,37.1041,-113.5841,3.89,93.0,75.0,3.09,US,1611982316.0
east london,-17.7333,-149.15,28.0,65.0,75.0,2.57,PF,1611982316.0
taoudenni,64.75,177.4833,-28.89,69.0,0.0,3.0,RU,1611982317.0
nishihara,39.05,-27.9833,15.78,84.0,100.0,9.01,PT,1611982317.0
grootfontein,66.1451,-65.7125,-23.0,77.0,1.0,2.57,CA,1611982317.0
mithimna,19.7297,-155.09,22.0,83.0,90.0,3.09,US,1611982317.0
namatanai,18.7369,7.3853,12.63,34.0,0.0,1.18,NE,1611982317.0
ribeira grande,55.2261,63.2961,-9.17,96.0,100.0,5.16,RU,1611982318.0
miri,0.7821,11.549,20.39,99.0,81.0,1.0,GA,1611982318.0
saldanha,38.8876,-76.5119,-1.0,47.0,90.0,3.6,US,1611982318.0
thompson,-20.7333,139.5,39.0,22.0,75.0,4.63,AU,1611982318.0
izumo,-28.783,32.0377,23.84,84.0,74.0,1.38,ZA,1611982319.0
saint george,68.75,161.3,-37.81,83.0,5.0,0.79,RU,1611982319.0
tautira,-10.4544,161.9205,28.73,76.0,100.0,3.83,SB,1611982319.0
anadyr,29.9697,40.2064,4.0,75.0,0.0,3.6,SA,1611982300.0
lagoa,32.2163,-80.7526,7.78,93.0,1.0,2.01,US,1611982155.0
pangnirtung,66.5606,67.7975,-39.66,80.0,72.0,1.88,RU,1611982320.0
hilo,68.8193,-51.1922,-17.0,55.0,0.0,3.09,GL,1611982320.0
arlit,48.8499,-54.0148,-5.0,93.0,100.0,4.12,CA,1611982321.0
shumikha,45.6333,85.1833,-12.09,89.0,6.0,1.28,CN,1611982321.0
mitzic,14.5094,-92.1933,18.89,90.0,32.0,1.2,GT,1611982321.0
mayo,77.484,-69.3632,-25.29,63.0,0.0,2.38,GL,1611982321.0
mount isa,-3.8367,-62.0569,22.63,97.0,71.0,0.76,BR,1611982322.0
richards bay,50.0501,-110.6683,-12.22,78.0,90.0,2.57,CA,1611982322.0
cherskiy,-6.7221,146.9847,35.0,46.0,75.0,2.57,PG,1611982322.0
ijaki,43.7501,-81.7165,-3.0,63.0,100.0,4.63,CA,1611982322.0
kirakira,-20.55,46.8,19.23,83.0,57.0,1.2,MG,1611982323.0
sakakah,-17.1889,-41.6947,16.44,97.0,3.0,0.79,BR,1611982323.0
hilton head island,54.6961,20.2361,0.56,93.0,75.0,2.0,RU,1611982323.0
aksarka,5.9594,121.3903,27.9,73.0,59.0,2.77,PH,1611982323.0
taolanaro,18.4167,-64.6167,25.0,84.0,34.0,1.79,VG,1611982324.0
qasigiannguit,37.0286,-7.8411,15.0,100.0,90.0,6.17,PT,1611982324.0
hare bay,60.1432,-45.2371,0.46,89.0,99.0,3.95,GL,1611982324.0
baijiantan,21.3469,-158.0858,25.0,64.0,1.0,3.6,US,1611982324.0
ocos,49.2,119.7,-28.24,85.0,71.0,3.72,CN,1611982324.0
qaanaaq,-35.7167,150.1833,28.33,94.0,30.0,0.89,AU,1611982325.0
codajas,35.7333,140.8333,8.89,23.0,20.0,8.23,JP,1611982325.0
medicine hat,70.3705,31.1107,-3.12,97.0,100.0,9.73,NO,1611982325.0
lae,16.8634,-99.8901,24.75,72.0,62.0,1.48,MX,1611982222.0
goderich,-17.0667,15.7333,19.84,82.0,100.0,2.13,AO,1611982326.0
ambatofinandrahana,3.0707,172.7902,26.95,77.0,100.0,6.66,KI,1611982326.0
carai,28.6585,-17.9182,16.67,88.0,20.0,3.6,ES,1611982035.0
vzmorye,-17.4,15.8833,21.14,74.0,100.0,2.32,,1611982326.0
andalan,-13.1256,38.9997,22.86,94.0,100.0,1.85,MZ,1611982327.0
road town,7.1344,-3.2047,21.19,96.0,3.0,1.16,CI,1611982327.0
olhao,64.8945,-23.7142,-1.79,98.0,100.0,8.24,IS,1611982327.0
nanortalik,-7.3817,108.2082,29.37,60.0,100.0,0.54,ID,1611982328.0
makakilo city,59.5833,151.2833,-25.15,82.0,35.0,5.56,RU,1611982328.0
hailar,23.8342,120.927,23.33,49.0,20.0,4.12,TW,1611982030.0
batemans bay,42.6225,126.2614,-13.95,89.0,26.0,4.62,CN,1611982328.0
hasaki,62.7161,129.6658,-44.0,59.0,94.0,1.0,RU,1611982329.0
vardo,47.358,36.6491,2.02,98.0,100.0,1.91,UA,1611982329.0
acapulco,-21.3585,55.7679,31.0,51.0,0.0,1.03,RE,1611982330.0
ondjiva,-8.1181,111.8935,28.47,73.0,100.0,1.21,ID,1611982330.0
butaritari,48.4001,-89.3168,-15.0,78.0,75.0,1.03,CA,1611982330.0
los llanos de aridane,69.2167,-51.1,-17.0,55.0,0.0,3.09,GL,1611982330.0
oshikango,64.3833,-173.3,-22.16,82.0,2.0,2.23,RU,1611982331.0
kuche,63.4453,120.3167,-40.34,79.0,100.0,1.27,RU,1611982331.0
barawe,64.8989,45.7622,-9.78,96.0,100.0,3.99,RU,1611982331.0
montepuez,-38.5473,-58.7368,17.78,75.0,64.0,2.24,AR,1611982331.0
agnibilekrou,13.0349,-9.4895,19.15,22.0,0.0,1.86,ML,1611982331.0
olafsvik,24.3448,124.1572,19.0,45.0,20.0,5.14,JP,1611982332.0
kawalu,63.2842,118.3319,-40.24,78.0,100.0,1.33,RU,1611982332.0
ola,54.2331,-125.7533,-12.0,79.0,100.0,1.03,CA,1611982332.0
nizhneyansk,41.4853,12.6179,9.44,81.0,0.0,3.09,IT,1611982332.0
nantou,64.8621,11.2373,-3.42,97.0,95.0,2.6,NO,1611982333.0
huinan,50.9942,81.4661,-9.93,94.0,13.0,3.07,RU,1611982333.0
namtsy,62.5833,6.1333,1.0,80.0,75.0,3.6,NO,1611982333.0
belushya guba,56.8519,33.4487,-5.49,97.0,100.0,3.06,RU,1611982333.0
amderma,5.6592,-53.7767,24.95,88.0,73.0,5.54,GF,1611982334.0
kuybysheve,8.5711,81.2335,26.7,81.0,13.0,6.07,LK,1611982334.0
saint-philippe,21.2667,-97.45,18.96,87.0,96.0,2.14,MX,1611982334.0
boyolangu,55.1001,-105.2842,-13.0,85.0,73.0,1.03,CA,1611982335.0
thunder bay,-29.4667,149.85,34.0,24.0,25.0,4.63,AU,1611982224.0
ilulissat,54.8753,69.1628,-15.0,85.0,0.0,6.0,KZ,1611982335.0
provideniya,22.5667,59.5289,21.92,37.0,0.0,3.15,OM,1611982336.0
verkhnevilyuysk,-15.7667,128.7333,31.0,94.0,40.0,5.66,AU,1611982336.0
leshukonskoye,36.9559,36.2,3.89,85.0,2.0,5.81,TR,1611982045.0
necochea,60.9167,-46.05,5.0,33.0,75.0,15.43,GL,1611982337.0
kita,27.1333,81.9333,15.71,38.0,0.0,3.37,IN,1611982142.0
ishigaki,-38.0023,-57.5575,20.56,94.0,74.0,2.06,AR,1611982152.0
nyurba,42.5617,-2.356,8.0,100.0,75.0,5.66,ES,1611982338.0
burns lake,-42.4667,171.2,16.88,57.0,0.0,3.81,NZ,1611982151.0
anzio,49.7502,-77.6328,-20.0,84.0,90.0,4.63,CA,1611982049.0
rorvik,32.2994,-9.2372,13.64,89.0,25.0,4.17,MA,1611982338.0
